Epoch 1/50, training Loss: 0.5890 Acc: 0.7248, validation Loss: 0.6122 Acc: 0.6579, Time 4m 49s
Epoch 2/50, training Loss: 0.5114 Acc: 0.8074, validation Loss: 0.6617 Acc: 0.5576, Time 4m 49s
Epoch 3/50, training Loss: 0.4788 Acc: 0.8374, validation Loss: 0.5521 Acc: 0.7573, Time 4m 50s
Epoch 4/50, training Loss: 0.4531 Acc: 0.8645, validation Loss: 0.4649 Acc: 0.8641, Time 4m 50s
Epoch 5/50, training Loss: 0.4351 Acc: 0.8795, validation Loss: 0.5734 Acc: 0.7598, Time 4m 49s
Epoch 6/50, training Loss: 0.4229 Acc: 0.8922, validation Loss: 0.5176 Acc: 0.8364, Time 4m 49s
Epoch 7/50, training Loss: 0.4115 Acc: 0.9015, validation Loss: 0.5420 Acc: 0.7519, Time 4m 50s
Epoch 8/50, training Loss: 0.4037 Acc: 0.9097, validation Loss: 0.5164 Acc: 0.8453, Time 4m 50s
Epoch 9/50, training Loss: 0.3943 Acc: 0.9208, validation Loss: 0.5405 Acc: 0.7687, Time 4m 49s
Epoch 10/50, training Loss: 0.3924 Acc: 0.9220, validation Loss: 0.5547 Acc: 0.7533, Time 4m 49s
Epoch 11/50, training Loss: 0.3871 Acc: 0.9265, validation Loss: 0.7347 Acc: 0.4839, Time 4m 50s
Epoch 12/50, training Loss: 0.3832 Acc: 0.9324, validation Loss: 0.7409 Acc: 0.4627, Time 4m 49s
Epoch 13/50, training Loss: 0.3825 Acc: 0.9299, validation Loss: 0.4909 Acc: 0.8156, Time 4m 50s
Epoch 14/50, training Loss: 0.3761 Acc: 0.9378, validation Loss: 0.6093 Acc: 0.6555, Time 4m 50s
Epoch 15/50, training Loss: 0.3748 Acc: 0.9394, validation Loss: 0.5582 Acc: 0.7291, Time 4m 49s
Epoch 16/50, training Loss: 0.3734 Acc: 0.9408, validation Loss: 0.6767 Acc: 0.5808, Time 4m 50s
Epoch 17/50, training Loss: 0.3699 Acc: 0.9440, validation Loss: 0.4025 Acc: 0.9100, Time 4m 49s
Epoch 18/50, training Loss: 0.3667 Acc: 0.9472, validation Loss: 0.7517 Acc: 0.4805, Time 4m 49s
Epoch 19/50, training Loss: 0.3640 Acc: 0.9511, validation Loss: 0.7966 Acc: 0.4548, Time 4m 49s
Epoch 20/50, training Loss: 0.3644 Acc: 0.9501, validation Loss: 0.8076 Acc: 0.4310, Time 4m 49s
Epoch 21/50, training Loss: 0.3617 Acc: 0.9525, validation Loss: 0.3980 Acc: 0.9135, Time 4m 50s
Epoch 22/50, training Loss: 0.3599 Acc: 0.9539, validation Loss: 0.3814 Acc: 0.9308, Time 4m 49s
Epoch 23/50, training Loss: 0.3595 Acc: 0.9550, validation Loss: 0.4282 Acc: 0.8814, Time 4m 49s
Epoch 24/50, training Loss: 0.3581 Acc: 0.9572, validation Loss: 0.3710 Acc: 0.9412, Time 4m 50s
Epoch 25/50, training Loss: 0.3583 Acc: 0.9559, validation Loss: 0.3860 Acc: 0.9254, Time 4m 49s
Epoch 26/50, training Loss: 0.3579 Acc: 0.9562, validation Loss: 0.5409 Acc: 0.7420, Time 4m 49s
Epoch 27/50, training Loss: 0.3563 Acc: 0.9600, validation Loss: 0.3781 Acc: 0.9338, Time 4m 49s
