Epoch 1/200, training Loss: 0.4270 Acc: 0.8919, validation Loss: 0.3868 Acc: 0.9321, Time 0m 58s
Epoch 2/200, training Loss: 0.4423 Acc: 0.8743, validation Loss: 0.3872 Acc: 0.9321, Time 0m 58s
Epoch 3/200, training Loss: 0.4418 Acc: 0.8789, validation Loss: 0.3869 Acc: 0.9347, Time 0m 58s
Epoch 4/200, training Loss: 0.4298 Acc: 0.8906, validation Loss: 0.3869 Acc: 0.9373, Time 0m 58s
Epoch 5/200, training Loss: 0.4346 Acc: 0.8835, validation Loss: 0.3864 Acc: 0.9321, Time 0m 58s
Epoch 6/200, training Loss: 0.4292 Acc: 0.8971, validation Loss: 0.3869 Acc: 0.9321, Time 0m 58s
Epoch 7/200, training Loss: 0.4302 Acc: 0.8874, validation Loss: 0.3870 Acc: 0.9321, Time 0m 58s
Epoch 8/200, training Loss: 0.4329 Acc: 0.8887, validation Loss: 0.3866 Acc: 0.9321, Time 0m 58s
Epoch 9/200, training Loss: 0.4390 Acc: 0.8776, validation Loss: 0.3865 Acc: 0.9321, Time 0m 58s
Epoch 10/200, training Loss: 0.4343 Acc: 0.8809, validation Loss: 0.3872 Acc: 0.9321, Time 0m 58s
Epoch 11/200, training Loss: 0.4366 Acc: 0.8815, validation Loss: 0.3869 Acc: 0.9347, Time 0m 58s
Epoch 12/200, training Loss: 0.4384 Acc: 0.8750, validation Loss: 0.3870 Acc: 0.9295, Time 0m 58s
Epoch 13/200, training Loss: 0.4319 Acc: 0.8822, validation Loss: 0.3873 Acc: 0.9347, Time 0m 58s
Epoch 14/200, training Loss: 0.4330 Acc: 0.8815, validation Loss: 0.3877 Acc: 0.9321, Time 0m 58s
Epoch 15/200, training Loss: 0.4376 Acc: 0.8796, validation Loss: 0.3870 Acc: 0.9347, Time 0m 58s
Epoch 16/200, training Loss: 0.4386 Acc: 0.8776, validation Loss: 0.3870 Acc: 0.9321, Time 0m 58s
Epoch 17/200, training Loss: 0.4314 Acc: 0.8861, validation Loss: 0.3866 Acc: 0.9321, Time 0m 58s
Epoch 18/200, training Loss: 0.4327 Acc: 0.8802, validation Loss: 0.3867 Acc: 0.9321, Time 0m 58s
Epoch 19/200, training Loss: 0.4287 Acc: 0.8952, validation Loss: 0.3868 Acc: 0.9347, Time 0m 58s
Epoch 20/200, training Loss: 0.4356 Acc: 0.8789, validation Loss: 0.3872 Acc: 0.9321, Time 0m 58s
Epoch 21/200, training Loss: 0.4401 Acc: 0.8743, validation Loss: 0.3871 Acc: 0.9347, Time 0m 58s
Epoch 22/200, training Loss: 0.4362 Acc: 0.8822, validation Loss: 0.3869 Acc: 0.9347, Time 0m 58s
Epoch 23/200, training Loss: 0.4388 Acc: 0.8730, validation Loss: 0.3867 Acc: 0.9321, Time 0m 58s
Epoch 24/200, training Loss: 0.4320 Acc: 0.8841, validation Loss: 0.3875 Acc: 0.9347, Time 0m 58s
Epoch 25/200, training Loss: 0.4385 Acc: 0.8802, validation Loss: 0.3869 Acc: 0.9347, Time 0m 58s
Epoch 26/200, training Loss: 0.4245 Acc: 0.8965, validation Loss: 0.3870 Acc: 0.9321, Time 0m 58s
Epoch 27/200, training Loss: 0.4363 Acc: 0.8770, validation Loss: 0.3868 Acc: 0.9321, Time 0m 58s
Epoch 28/200, training Loss: 0.4346 Acc: 0.8848, validation Loss: 0.3873 Acc: 0.9321, Time 0m 58s
Epoch 29/200, training Loss: 0.4357 Acc: 0.8815, validation Loss: 0.3868 Acc: 0.9321, Time 0m 58s
Epoch 30/200, training Loss: 0.4308 Acc: 0.8867, validation Loss: 0.3869 Acc: 0.9321, Time 0m 58s
Epoch 31/200, training Loss: 0.4415 Acc: 0.8770, validation Loss: 0.3869 Acc: 0.9347, Time 0m 58s
Epoch 32/200, training Loss: 0.4351 Acc: 0.8815, validation Loss: 0.3868 Acc: 0.9321, Time 0m 58s
Epoch 33/200, training Loss: 0.4352 Acc: 0.8789, validation Loss: 0.3872 Acc: 0.9321, Time 0m 58s
Epoch 34/200, training Loss: 0.4312 Acc: 0.8874, validation Loss: 0.3872 Acc: 0.9347, Time 0m 58s
Epoch 35/200, training Loss: 0.4346 Acc: 0.8776, validation Loss: 0.3872 Acc: 0.9321, Time 0m 58s
Epoch 36/200, training Loss: 0.4325 Acc: 0.8848, validation Loss: 0.3867 Acc: 0.9321, Time 0m 58s
Epoch 37/200, training Loss: 0.4289 Acc: 0.8900, validation Loss: 0.3878 Acc: 0.9347, Time 0m 58s
Epoch 38/200, training Loss: 0.4383 Acc: 0.8796, validation Loss: 0.3867 Acc: 0.9321, Time 0m 58s
Epoch 39/200, training Loss: 0.4366 Acc: 0.8770, validation Loss: 0.3868 Acc: 0.9347, Time 0m 58s
Epoch 40/200, training Loss: 0.4329 Acc: 0.8867, validation Loss: 0.3867 Acc: 0.9321, Time 0m 58s
Epoch 41/200, training Loss: 0.4327 Acc: 0.8763, validation Loss: 0.3871 Acc: 0.9321, Time 0m 58s
Epoch 42/200, training Loss: 0.4363 Acc: 0.8861, validation Loss: 0.3872 Acc: 0.9321, Time 0m 58s
Epoch 43/200, training Loss: 0.4398 Acc: 0.8743, validation Loss: 0.3870 Acc: 0.9347, Time 0m 58s
Epoch 44/200, training Loss: 0.4302 Acc: 0.8939, validation Loss: 0.3876 Acc: 0.9321, Time 0m 58s
Epoch 45/200, training Loss: 0.4340 Acc: 0.8874, validation Loss: 0.3868 Acc: 0.9321, Time 0m 58s
Epoch 46/200, training Loss: 0.4359 Acc: 0.8796, validation Loss: 0.3868 Acc: 0.9347, Time 0m 58s
Epoch 47/200, training Loss: 0.4343 Acc: 0.8796, validation Loss: 0.3867 Acc: 0.9321, Time 0m 58s
Epoch 48/200, training Loss: 0.4406 Acc: 0.8757, validation Loss: 0.3867 Acc: 0.9321, Time 0m 58s
Epoch 49/200, training Loss: 0.4380 Acc: 0.8743, validation Loss: 0.3867 Acc: 0.9321, Time 0m 58s
Epoch 50/200, training Loss: 0.4373 Acc: 0.8822, validation Loss: 0.3868 Acc: 0.9321, Time 0m 58s
Epoch 51/200, training Loss: 0.4329 Acc: 0.8861, validation Loss: 0.3866 Acc: 0.9321, Time 0m 58s
Epoch 52/200, training Loss: 0.4378 Acc: 0.8770, validation Loss: 0.3869 Acc: 0.9373, Time 0m 58s
Epoch 53/200, training Loss: 0.4356 Acc: 0.8789, validation Loss: 0.3866 Acc: 0.9321, Time 0m 58s
Epoch 54/200, training Loss: 0.4314 Acc: 0.8835, validation Loss: 0.3872 Acc: 0.9321, Time 0m 58s
Epoch 55/200, training Loss: 0.4406 Acc: 0.8770, validation Loss: 0.3870 Acc: 0.9347, Time 0m 58s
Epoch 56/200, training Loss: 0.4360 Acc: 0.8802, validation Loss: 0.3870 Acc: 0.9321, Time 0m 58s
Epoch 57/200, training Loss: 0.4295 Acc: 0.8880, validation Loss: 0.3872 Acc: 0.9321, Time 0m 58s
Epoch 58/200, training Loss: 0.4373 Acc: 0.8809, validation Loss: 0.3872 Acc: 0.9321, Time 0m 58s
Epoch 59/200, training Loss: 0.4372 Acc: 0.8815, validation Loss: 0.3873 Acc: 0.9321, Time 0m 58s
Epoch 60/200, training Loss: 0.4410 Acc: 0.8711, validation Loss: 0.3871 Acc: 0.9295, Time 0m 58s
Epoch 61/200, training Loss: 0.4337 Acc: 0.8854, validation Loss: 0.3874 Acc: 0.9321, Time 0m 58s
Epoch 62/200, training Loss: 0.4397 Acc: 0.8730, validation Loss: 0.3876 Acc: 0.9321, Time 0m 58s
Epoch 63/200, training Loss: 0.4361 Acc: 0.8815, validation Loss: 0.3868 Acc: 0.9321, Time 0m 58s
Epoch 64/200, training Loss: 0.4372 Acc: 0.8724, validation Loss: 0.3866 Acc: 0.9321, Time 0m 58s
Epoch 65/200, training Loss: 0.4275 Acc: 0.8926, validation Loss: 0.3871 Acc: 0.9321, Time 0m 58s
Epoch 66/200, training Loss: 0.4412 Acc: 0.8698, validation Loss: 0.3871 Acc: 0.9321, Time 0m 58s
Epoch 67/200, training Loss: 0.4308 Acc: 0.8854, validation Loss: 0.3871 Acc: 0.9347, Time 0m 58s
Epoch 68/200, training Loss: 0.4354 Acc: 0.8867, validation Loss: 0.3873 Acc: 0.9321, Time 0m 58s
Epoch 69/200, training Loss: 0.4252 Acc: 0.8913, validation Loss: 0.3875 Acc: 0.9321, Time 0m 58s
Epoch 70/200, training Loss: 0.4319 Acc: 0.8802, validation Loss: 0.3873 Acc: 0.9347, Time 0m 58s
Epoch 71/200, training Loss: 0.4337 Acc: 0.8867, validation Loss: 0.3867 Acc: 0.9321, Time 0m 58s
Epoch 72/200, training Loss: 0.4284 Acc: 0.8900, validation Loss: 0.3869 Acc: 0.9347, Time 0m 58s
Epoch 73/200, training Loss: 0.4415 Acc: 0.8724, validation Loss: 0.3870 Acc: 0.9321, Time 0m 58s
Epoch 74/200, training Loss: 0.4342 Acc: 0.8854, validation Loss: 0.3875 Acc: 0.9321, Time 0m 58s
Epoch 75/200, training Loss: 0.4286 Acc: 0.8887, validation Loss: 0.3876 Acc: 0.9347, Time 0m 58s
Epoch 76/200, training Loss: 0.4387 Acc: 0.8802, validation Loss: 0.3871 Acc: 0.9347, Time 0m 58s
Epoch 77/200, training Loss: 0.4317 Acc: 0.8861, validation Loss: 0.3872 Acc: 0.9321, Time 0m 58s
Epoch 78/200, training Loss: 0.4344 Acc: 0.8848, validation Loss: 0.3873 Acc: 0.9347, Time 0m 58s
Epoch 79/200, training Loss: 0.4353 Acc: 0.8802, validation Loss: 0.3871 Acc: 0.9321, Time 0m 58s
Epoch 80/200, training Loss: 0.4310 Acc: 0.8893, validation Loss: 0.3870 Acc: 0.9321, Time 0m 58s
Epoch 81/200, training Loss: 0.4382 Acc: 0.8783, validation Loss: 0.3869 Acc: 0.9321, Time 0m 58s
Epoch 82/200, training Loss: 0.4282 Acc: 0.8926, validation Loss: 0.3868 Acc: 0.9321, Time 0m 58s
Epoch 83/200, training Loss: 0.4345 Acc: 0.8848, validation Loss: 0.3870 Acc: 0.9347, Time 0m 58s
Epoch 84/200, training Loss: 0.4340 Acc: 0.8815, validation Loss: 0.3869 Acc: 0.9347, Time 0m 58s
Epoch 85/200, training Loss: 0.4350 Acc: 0.8848, validation Loss: 0.3868 Acc: 0.9321, Time 0m 58s
Epoch 86/200, training Loss: 0.4293 Acc: 0.8900, validation Loss: 0.3868 Acc: 0.9347, Time 0m 58s
Epoch 87/200, training Loss: 0.4324 Acc: 0.8867, validation Loss: 0.3870 Acc: 0.9347, Time 0m 58s
Epoch 88/200, training Loss: 0.4377 Acc: 0.8750, validation Loss: 0.3866 Acc: 0.9373, Time 0m 58s
Epoch 89/200, training Loss: 0.4348 Acc: 0.8828, validation Loss: 0.3871 Acc: 0.9347, Time 0m 58s
Epoch 90/200, training Loss: 0.4333 Acc: 0.8848, validation Loss: 0.3867 Acc: 0.9321, Time 0m 58s
Epoch 91/200, training Loss: 0.4333 Acc: 0.8789, validation Loss: 0.3868 Acc: 0.9321, Time 0m 58s
