Epoch 1/200, training Loss: 0.5080 Acc: 0.8000, validation Loss: 0.8805 Acc: 0.3854, Time 0m 57s
Epoch 2/200, training Loss: 0.4442 Acc: 0.8684, validation Loss: 0.8350 Acc: 0.4661, Time 0m 58s
Epoch 3/200, training Loss: 0.4411 Acc: 0.8651, validation Loss: 0.4685 Acc: 0.8359, Time 0m 58s
Epoch 4/200, training Loss: 0.4041 Acc: 0.9081, validation Loss: 0.4685 Acc: 0.8438, Time 0m 57s
Epoch 5/200, training Loss: 0.3948 Acc: 0.9166, validation Loss: 0.4388 Acc: 0.8698, Time 0m 58s
Epoch 6/200, training Loss: 0.3927 Acc: 0.9166, validation Loss: 0.4379 Acc: 0.8672, Time 0m 58s
Epoch 7/200, training Loss: 0.3855 Acc: 0.9251, validation Loss: 0.4741 Acc: 0.8307, Time 0m 59s
Epoch 8/200, training Loss: 0.3886 Acc: 0.9231, validation Loss: 0.4250 Acc: 0.8828, Time 0m 59s
Epoch 9/200, training Loss: 0.3792 Acc: 0.9316, validation Loss: 0.5504 Acc: 0.7526, Time 0m 58s
Epoch 10/200, training Loss: 0.3747 Acc: 0.9375, validation Loss: 0.5629 Acc: 0.7396, Time 0m 58s
Epoch 11/200, training Loss: 0.3645 Acc: 0.9466, validation Loss: 0.4332 Acc: 0.8724, Time 0m 58s
Epoch 12/200, training Loss: 0.3652 Acc: 0.9466, validation Loss: 0.4388 Acc: 0.8672, Time 0m 58s
Epoch 13/200, training Loss: 0.3607 Acc: 0.9531, validation Loss: 0.6082 Acc: 0.6849, Time 0m 59s
Epoch 14/200, training Loss: 0.3475 Acc: 0.9648, validation Loss: 0.4416 Acc: 0.8672, Time 0m 58s
Epoch 15/200, training Loss: 0.3540 Acc: 0.9590, validation Loss: 0.4340 Acc: 0.8750, Time 0m 58s
Epoch 16/200, training Loss: 0.3564 Acc: 0.9570, validation Loss: 0.4110 Acc: 0.9010, Time 0m 58s
Epoch 17/200, training Loss: 0.3523 Acc: 0.9596, validation Loss: 0.4426 Acc: 0.8646, Time 0m 59s
Epoch 18/200, training Loss: 0.3592 Acc: 0.9537, validation Loss: 0.6786 Acc: 0.6276, Time 0m 58s
Epoch 19/200, training Loss: 0.3537 Acc: 0.9590, validation Loss: 0.5358 Acc: 0.7682, Time 0m 58s
Epoch 20/200, training Loss: 0.3456 Acc: 0.9648, validation Loss: 0.4237 Acc: 0.8828, Time 0m 59s
