Epoch 1/50, training Loss: 0.5838 Acc: 0.7320, validation Loss: 0.6002 Acc: 0.6594, Time 4m 48s
Epoch 2/50, training Loss: 0.4998 Acc: 0.8224, validation Loss: 0.5257 Acc: 0.8240, Time 4m 48s
Epoch 3/50, training Loss: 0.4633 Acc: 0.8532, validation Loss: 0.4917 Acc: 0.8398, Time 4m 48s
Epoch 4/50, training Loss: 0.4413 Acc: 0.8759, validation Loss: 0.5045 Acc: 0.8131, Time 4m 48s
Epoch 5/50, training Loss: 0.4308 Acc: 0.8823, validation Loss: 0.4512 Acc: 0.8848, Time 4m 48s
Epoch 6/50, training Loss: 0.4197 Acc: 0.8942, validation Loss: 0.5493 Acc: 0.7603, Time 4m 48s
Epoch 7/50, training Loss: 0.4087 Acc: 0.9053, validation Loss: 0.5955 Acc: 0.6896, Time 4m 48s
Epoch 8/50, training Loss: 0.3999 Acc: 0.9151, validation Loss: 0.4373 Acc: 0.8848, Time 4m 48s
Epoch 9/50, training Loss: 0.3963 Acc: 0.9168, validation Loss: 0.4171 Acc: 0.8987, Time 4m 48s
Epoch 10/50, training Loss: 0.3887 Acc: 0.9265, validation Loss: 0.6532 Acc: 0.6100, Time 4m 48s
Epoch 11/50, training Loss: 0.3832 Acc: 0.9318, validation Loss: 0.5153 Acc: 0.7790, Time 4m 48s
Epoch 12/50, training Loss: 0.3840 Acc: 0.9310, validation Loss: 0.4178 Acc: 0.8942, Time 4m 48s
Epoch 13/50, training Loss: 0.3798 Acc: 0.9346, validation Loss: 0.4469 Acc: 0.8606, Time 4m 49s
Epoch 14/50, training Loss: 0.3749 Acc: 0.9399, validation Loss: 0.5164 Acc: 0.7879, Time 4m 48s
Epoch 15/50, training Loss: 0.3730 Acc: 0.9414, validation Loss: 0.4730 Acc: 0.8359, Time 4m 48s
Epoch 16/50, training Loss: 0.3732 Acc: 0.9398, validation Loss: 0.5597 Acc: 0.7316, Time 4m 49s
Epoch 17/50, training Loss: 0.3695 Acc: 0.9460, validation Loss: 0.3990 Acc: 0.9179, Time 4m 48s
Epoch 18/50, training Loss: 0.3674 Acc: 0.9467, validation Loss: 0.4192 Acc: 0.8947, Time 4m 48s
Epoch 19/50, training Loss: 0.3674 Acc: 0.9462, validation Loss: 0.4556 Acc: 0.8581, Time 4m 48s
Epoch 20/50, training Loss: 0.3630 Acc: 0.9513, validation Loss: 0.3808 Acc: 0.9392, Time 4m 48s
Epoch 21/50, training Loss: 0.3596 Acc: 0.9546, validation Loss: 0.3928 Acc: 0.9204, Time 4m 49s
Epoch 22/50, training Loss: 0.3598 Acc: 0.9551, validation Loss: 0.3729 Acc: 0.9417, Time 4m 48s
Epoch 23/50, training Loss: 0.3563 Acc: 0.9592, validation Loss: 0.4240 Acc: 0.8873, Time 4m 48s
Epoch 24/50, training Loss: 0.3568 Acc: 0.9585, validation Loss: 0.3701 Acc: 0.9446, Time 4m 48s
Epoch 25/50, training Loss: 0.3567 Acc: 0.9586, validation Loss: 0.3942 Acc: 0.9150, Time 4m 49s
Epoch 26/50, training Loss: 0.3566 Acc: 0.9591, validation Loss: 0.4210 Acc: 0.8908, Time 4m 48s
Epoch 27/50, training Loss: 0.3561 Acc: 0.9580, validation Loss: 0.3703 Acc: 0.9422, Time 4m 48s
