Epoch 1/50, training Loss: 0.5809 Acc: 0.7297, validation Loss: 0.6118 Acc: 0.6583, Time 4m 45s
Epoch 2/50, training Loss: 0.4973 Acc: 0.8228, validation Loss: 0.5747 Acc: 0.7928, Time 4m 46s
Epoch 3/50, training Loss: 0.4645 Acc: 0.8517, validation Loss: 0.6270 Acc: 0.7646, Time 4m 46s
Epoch 4/50, training Loss: 0.4457 Acc: 0.8701, validation Loss: 0.5056 Acc: 0.8408, Time 4m 44s
Epoch 5/50, training Loss: 0.4312 Acc: 0.8831, validation Loss: 0.4416 Acc: 0.8818, Time 4m 44s
Epoch 6/50, training Loss: 0.4210 Acc: 0.8921, validation Loss: 0.5991 Acc: 0.7537, Time 4m 43s
Epoch 7/50, training Loss: 0.4094 Acc: 0.9063, validation Loss: 0.4919 Acc: 0.8398, Time 4m 42s
Epoch 8/50, training Loss: 0.4006 Acc: 0.9146, validation Loss: 0.5304 Acc: 0.7770, Time 4m 42s
Epoch 9/50, training Loss: 0.3980 Acc: 0.9135, validation Loss: 0.6395 Acc: 0.6123, Time 4m 42s
Epoch 10/50, training Loss: 0.3891 Acc: 0.9265, validation Loss: 0.5259 Acc: 0.7854, Time 4m 42s
Epoch 11/50, training Loss: 0.3879 Acc: 0.9268, validation Loss: 0.6123 Acc: 0.6607, Time 4m 42s
Epoch 12/50, training Loss: 0.3841 Acc: 0.9297, validation Loss: 0.4846 Acc: 0.8363, Time 4m 42s
Epoch 13/50, training Loss: 0.3805 Acc: 0.9325, validation Loss: 0.4360 Acc: 0.8759, Time 4m 42s
Epoch 14/50, training Loss: 0.3797 Acc: 0.9319, validation Loss: 0.6566 Acc: 0.6108, Time 4m 42s
Epoch 15/50, training Loss: 0.3717 Acc: 0.9429, validation Loss: 0.3959 Acc: 0.9243, Time 4m 42s
Epoch 16/50, training Loss: 0.3742 Acc: 0.9385, validation Loss: 0.6796 Acc: 0.5692, Time 4m 41s
Epoch 17/50, training Loss: 0.3712 Acc: 0.9427, validation Loss: 0.7113 Acc: 0.5371, Time 4m 41s
Epoch 18/50, training Loss: 0.3688 Acc: 0.9444, validation Loss: 0.5927 Acc: 0.6884, Time 4m 42s
Epoch 19/50, training Loss: 0.3662 Acc: 0.9487, validation Loss: 0.7582 Acc: 0.5010, Time 4m 42s
Epoch 20/50, training Loss: 0.3663 Acc: 0.9475, validation Loss: 0.5904 Acc: 0.6899, Time 4m 42s
Epoch 21/50, training Loss: 0.3597 Acc: 0.9550, validation Loss: 0.5654 Acc: 0.7087, Time 4m 42s
Epoch 22/50, training Loss: 0.3589 Acc: 0.9553, validation Loss: 0.4623 Acc: 0.8408, Time 4m 41s
Epoch 23/50, training Loss: 0.3595 Acc: 0.9550, validation Loss: 0.5863 Acc: 0.6949, Time 4m 41s
Epoch 24/50, training Loss: 0.3566 Acc: 0.9576, validation Loss: 0.4623 Acc: 0.8388, Time 4m 41s
Epoch 25/50, training Loss: 0.3595 Acc: 0.9545, validation Loss: 0.5476 Acc: 0.7394, Time 4m 41s
Epoch 26/50, training Loss: 0.3585 Acc: 0.9564, validation Loss: 0.4190 Acc: 0.8892, Time 4m 41s
Epoch 27/50, training Loss: 0.3595 Acc: 0.9544, validation Loss: 0.3777 Acc: 0.9347, Time 4m 41s
Epoch 28/50, training Loss: 0.3580 Acc: 0.9564, validation Loss: 0.4732 Acc: 0.8304, Time 4m 43s
Epoch 29/50, training Loss: 0.3563 Acc: 0.9577, validation Loss: 0.5115 Acc: 0.7804, Time 4m 43s
Epoch 30/50, training Loss: 0.3572 Acc: 0.9570, validation Loss: 0.3758 Acc: 0.9337, Time 4m 41s
Epoch 31/50, training Loss: 0.3572 Acc: 0.9571, validation Loss: 0.4747 Acc: 0.8264, Time 4m 42s
Epoch 32/50, training Loss: 0.3577 Acc: 0.9556, validation Loss: 0.5256 Acc: 0.7641, Time 4m 41s
Epoch 33/50, training Loss: 0.3571 Acc: 0.9571, validation Loss: 0.3806 Acc: 0.9293, Time 4m 41s
Epoch 34/50, training Loss: 0.3561 Acc: 0.9586, validation Loss: 0.4313 Acc: 0.8709, Time 4m 41s
Epoch 35/50, training Loss: 0.3570 Acc: 0.9559, validation Loss: 0.5662 Acc: 0.7161, Time 4m 41s
Epoch 36/50, training Loss: 0.3550 Acc: 0.9602, validation Loss: 0.4123 Acc: 0.8976, Time 4m 41s
Epoch 37/50, training Loss: 0.3553 Acc: 0.9602, validation Loss: 0.5077 Acc: 0.7888, Time 4m 41s
Epoch 38/50, training Loss: 0.3566 Acc: 0.9574, validation Loss: 0.4675 Acc: 0.8309, Time 4m 41s
Epoch 39/50, training Loss: 0.3545 Acc: 0.9611, validation Loss: 0.3818 Acc: 0.9313, Time 4m 41s
Epoch 40/50, training Loss: 0.3551 Acc: 0.9596, validation Loss: 0.3858 Acc: 0.9253, Time 4m 42s
Epoch 41/50, training Loss: 0.3542 Acc: 0.9605, validation Loss: 0.3631 Acc: 0.9491, Time 4m 41s
Epoch 42/50, training Loss: 0.3549 Acc: 0.9597, validation Loss: 0.3686 Acc: 0.9441, Time 4m 41s
Epoch 43/50, training Loss: 0.3545 Acc: 0.9603, validation Loss: 0.3644 Acc: 0.9476, Time 4m 41s
Epoch 44/50, training Loss: 0.3540 Acc: 0.9600, validation Loss: 0.3631 Acc: 0.9496, Time 4m 41s
Epoch 45/50, training Loss: 0.3541 Acc: 0.9616, validation Loss: 0.3860 Acc: 0.9243, Time 4m 42s
Epoch 46/50, training Loss: 0.3539 Acc: 0.9609, validation Loss: 0.3938 Acc: 0.9154, Time 4m 41s
Epoch 47/50, training Loss: 0.3549 Acc: 0.9591, validation Loss: 0.3711 Acc: 0.9392, Time 4m 41s
Epoch 48/50, training Loss: 0.3525 Acc: 0.9635, validation Loss: 0.3632 Acc: 0.9515, Time 4m 42s
Epoch 49/50, training Loss: 0.3545 Acc: 0.9607, validation Loss: 0.3646 Acc: 0.9500, Time 4m 42s
Epoch 50/50, training Loss: 0.3536 Acc: 0.9619, validation Loss: 0.3648 Acc: 0.9496, Time 4m 42s
Time 234m 55s
Best val Acc: 0.951533 at epoch 47
