Epoch 1/50, training Loss: 0.5859 Acc: 0.7316, validation Loss: 0.6076 Acc: 0.6584, Time 4m 50s
Epoch 2/50, training Loss: 0.5022 Acc: 0.8163, validation Loss: 0.5759 Acc: 0.7934, Time 4m 44s
Epoch 3/50, training Loss: 0.4714 Acc: 0.8466, validation Loss: 0.5176 Acc: 0.8186, Time 4m 36s
Epoch 4/50, training Loss: 0.4560 Acc: 0.8591, validation Loss: 0.5412 Acc: 0.7385, Time 4m 35s
Epoch 5/50, training Loss: 0.4381 Acc: 0.8796, validation Loss: 0.7109 Acc: 0.5492, Time 4m 36s
Epoch 6/50, training Loss: 0.4254 Acc: 0.8905, validation Loss: 0.5765 Acc: 0.7177, Time 4m 43s
Epoch 7/50, training Loss: 0.4122 Acc: 0.9032, validation Loss: 0.4763 Acc: 0.8819, Time 4m 42s
Epoch 8/50, training Loss: 0.4086 Acc: 0.9052, validation Loss: 0.5583 Acc: 0.7281, Time 4m 41s
Epoch 9/50, training Loss: 0.3983 Acc: 0.9174, validation Loss: 0.7404 Acc: 0.4963, Time 4m 42s
Epoch 10/50, training Loss: 0.3956 Acc: 0.9193, validation Loss: 0.5259 Acc: 0.7761, Time 4m 42s
Epoch 11/50, training Loss: 0.3881 Acc: 0.9247, validation Loss: 0.4616 Acc: 0.8527, Time 4m 42s
Epoch 12/50, training Loss: 0.3867 Acc: 0.9283, validation Loss: 0.4399 Acc: 0.8749, Time 4m 41s
Epoch 13/50, training Loss: 0.3812 Acc: 0.9328, validation Loss: 0.4414 Acc: 0.8794, Time 4m 42s
Epoch 14/50, training Loss: 0.3797 Acc: 0.9341, validation Loss: 0.7631 Acc: 0.4844, Time 4m 42s
Epoch 15/50, training Loss: 0.3781 Acc: 0.9355, validation Loss: 0.5472 Acc: 0.7390, Time 4m 42s
Epoch 16/50, training Loss: 0.3709 Acc: 0.9443, validation Loss: 0.4305 Acc: 0.8809, Time 4m 42s
Epoch 17/50, training Loss: 0.3684 Acc: 0.9465, validation Loss: 0.4384 Acc: 0.8843, Time 4m 43s
Epoch 18/50, training Loss: 0.3697 Acc: 0.9446, validation Loss: 0.4557 Acc: 0.8744, Time 4m 42s
Epoch 19/50, training Loss: 0.3674 Acc: 0.9461, validation Loss: 0.4393 Acc: 0.8700, Time 4m 42s
Epoch 20/50, training Loss: 0.3646 Acc: 0.9488, validation Loss: 0.4135 Acc: 0.9021, Time 4m 43s
Epoch 21/50, training Loss: 0.3589 Acc: 0.9556, validation Loss: 0.4140 Acc: 0.8873, Time 4m 42s
Epoch 22/50, training Loss: 0.3591 Acc: 0.9549, validation Loss: 0.3982 Acc: 0.9165, Time 4m 42s
Epoch 23/50, training Loss: 0.3597 Acc: 0.9560, validation Loss: 0.3773 Acc: 0.9372, Time 4m 42s
Epoch 24/50, training Loss: 0.3598 Acc: 0.9543, validation Loss: 0.3859 Acc: 0.9254, Time 4m 42s
Epoch 25/50, training Loss: 0.3580 Acc: 0.9560, validation Loss: 0.3940 Acc: 0.9184, Time 4m 42s
Epoch 26/50, training Loss: 0.3561 Acc: 0.9581, validation Loss: 0.3808 Acc: 0.9348, Time 4m 42s
Epoch 27/50, training Loss: 0.3568 Acc: 0.9585, validation Loss: 0.3933 Acc: 0.9170, Time 4m 43s
Epoch 28/50, training Loss: 0.3567 Acc: 0.9583, validation Loss: 0.3789 Acc: 0.9348, Time 4m 42s
Epoch 29/50, training Loss: 0.3578 Acc: 0.9575, validation Loss: 0.3888 Acc: 0.9283, Time 4m 42s
Epoch 30/50, training Loss: 0.3582 Acc: 0.9553, validation Loss: 0.3794 Acc: 0.9338, Time 4m 42s
Epoch 31/50, training Loss: 0.3540 Acc: 0.9618, validation Loss: 0.3886 Acc: 0.9254, Time 4m 42s
Epoch 32/50, training Loss: 0.3579 Acc: 0.9562, validation Loss: 0.3766 Acc: 0.9372, Time 4m 42s
Epoch 33/50, training Loss: 0.3558 Acc: 0.9588, validation Loss: 0.3890 Acc: 0.9224, Time 4m 42s
Epoch 34/50, training Loss: 0.3584 Acc: 0.9566, validation Loss: 0.3779 Acc: 0.9367, Time 4m 42s
Epoch 35/50, training Loss: 0.3537 Acc: 0.9619, validation Loss: 0.3869 Acc: 0.9263, Time 4m 41s
Epoch 36/50, training Loss: 0.3534 Acc: 0.9609, validation Loss: 0.3798 Acc: 0.9298, Time 4m 43s
Epoch 37/50, training Loss: 0.3559 Acc: 0.9593, validation Loss: 0.3730 Acc: 0.9382, Time 4m 44s
Epoch 38/50, training Loss: 0.3541 Acc: 0.9600, validation Loss: 0.3803 Acc: 0.9333, Time 4m 44s
Epoch 39/50, training Loss: 0.3532 Acc: 0.9617, validation Loss: 0.3991 Acc: 0.9125, Time 4m 44s
Epoch 40/50, training Loss: 0.3539 Acc: 0.9623, validation Loss: 0.3764 Acc: 0.9357, Time 4m 44s
Epoch 41/50, training Loss: 0.3537 Acc: 0.9601, validation Loss: 0.3715 Acc: 0.9392, Time 4m 45s
Epoch 42/50, training Loss: 0.3535 Acc: 0.9619, validation Loss: 0.3709 Acc: 0.9407, Time 4m 45s
Epoch 43/50, training Loss: 0.3533 Acc: 0.9626, validation Loss: 0.3708 Acc: 0.9402, Time 4m 45s
Epoch 44/50, training Loss: 0.3553 Acc: 0.9596, validation Loss: 0.3705 Acc: 0.9407, Time 4m 45s
Epoch 45/50, training Loss: 0.3532 Acc: 0.9614, validation Loss: 0.3710 Acc: 0.9407, Time 4m 45s
Epoch 46/50, training Loss: 0.3563 Acc: 0.9582, validation Loss: 0.3707 Acc: 0.9427, Time 4m 45s
Epoch 47/50, training Loss: 0.3550 Acc: 0.9602, validation Loss: 0.3705 Acc: 0.9412, Time 4m 46s
Epoch 48/50, training Loss: 0.3538 Acc: 0.9611, validation Loss: 0.3701 Acc: 0.9432, Time 4m 45s
Epoch 49/50, training Loss: 0.3546 Acc: 0.9604, validation Loss: 0.3710 Acc: 0.9407, Time 4m 46s
Epoch 50/50, training Loss: 0.3555 Acc: 0.9596, validation Loss: 0.3708 Acc: 0.9417, Time 4m 46s
Time 235m 36s
Best val Acc: 0.943154 at epoch 47
