Epoch 1/200, training Loss: 0.6184 Acc: 0.6762, validation Loss: 0.6633 Acc: 0.6745, Time 0m 58s
Epoch 2/200, training Loss: 0.5231 Acc: 0.8195, validation Loss: 0.5631 Acc: 0.7109, Time 0m 58s
Epoch 3/200, training Loss: 0.5002 Acc: 0.8221, validation Loss: 0.5430 Acc: 0.7995, Time 0m 58s
Epoch 4/200, training Loss: 0.4616 Acc: 0.8651, validation Loss: 0.5047 Acc: 0.8307, Time 0m 58s
Epoch 5/200, training Loss: 0.4566 Acc: 0.8638, validation Loss: 0.7858 Acc: 0.3646, Time 0m 58s
Epoch 6/200, training Loss: 0.4366 Acc: 0.8795, validation Loss: 0.5622 Acc: 0.7057, Time 0m 58s
Epoch 7/200, training Loss: 0.4418 Acc: 0.8749, validation Loss: 0.5741 Acc: 0.7057, Time 0m 58s
Epoch 8/200, training Loss: 0.4225 Acc: 0.9010, validation Loss: 0.6797 Acc: 0.5651, Time 0m 57s
Epoch 9/200, training Loss: 0.4274 Acc: 0.8879, validation Loss: 0.4691 Acc: 0.8672, Time 0m 57s
Epoch 10/200, training Loss: 0.4183 Acc: 0.9029, validation Loss: 0.4658 Acc: 0.8620, Time 0m 57s
Epoch 11/200, training Loss: 0.4150 Acc: 0.9010, validation Loss: 0.4532 Acc: 0.8672, Time 0m 57s
Epoch 12/200, training Loss: 0.4077 Acc: 0.9094, validation Loss: 0.4352 Acc: 0.8880, Time 0m 57s
Epoch 13/200, training Loss: 0.4147 Acc: 0.8990, validation Loss: 0.4273 Acc: 0.8880, Time 0m 57s
Epoch 14/200, training Loss: 0.4171 Acc: 0.9003, validation Loss: 0.4285 Acc: 0.8880, Time 0m 57s
Epoch 15/200, training Loss: 0.4070 Acc: 0.9101, validation Loss: 0.4322 Acc: 0.8854, Time 0m 57s
Epoch 16/200, training Loss: 0.4076 Acc: 0.9081, validation Loss: 0.4320 Acc: 0.8880, Time 0m 57s
Epoch 17/200, training Loss: 0.4039 Acc: 0.9160, validation Loss: 0.4312 Acc: 0.9010, Time 0m 57s
Epoch 18/200, training Loss: 0.4038 Acc: 0.9140, validation Loss: 0.4522 Acc: 0.8542, Time 0m 57s
Epoch 19/200, training Loss: 0.4059 Acc: 0.9114, validation Loss: 0.4268 Acc: 0.8880, Time 0m 57s
Epoch 20/200, training Loss: 0.4043 Acc: 0.9101, validation Loss: 0.4225 Acc: 0.8932, Time 0m 57s
Epoch 21/200, training Loss: 0.4047 Acc: 0.9121, validation Loss: 0.5593 Acc: 0.7370, Time 0m 57s
Epoch 22/200, training Loss: 0.4072 Acc: 0.9101, validation Loss: 0.4295 Acc: 0.8932, Time 0m 57s
Epoch 23/200, training Loss: 0.4088 Acc: 0.9062, validation Loss: 0.5908 Acc: 0.6953, Time 0m 57s
Epoch 24/200, training Loss: 0.4054 Acc: 0.9121, validation Loss: 0.4303 Acc: 0.8854, Time 0m 57s
Epoch 25/200, training Loss: 0.3979 Acc: 0.9244, validation Loss: 0.4217 Acc: 0.9010, Time 0m 57s
Epoch 26/200, training Loss: 0.3964 Acc: 0.9238, validation Loss: 0.6091 Acc: 0.6797, Time 0m 57s
Epoch 27/200, training Loss: 0.4030 Acc: 0.9147, validation Loss: 0.4311 Acc: 0.8932, Time 0m 57s
Epoch 28/200, training Loss: 0.3966 Acc: 0.9270, validation Loss: 0.4549 Acc: 0.8385, Time 0m 57s
Epoch 29/200, training Loss: 0.4060 Acc: 0.9081, validation Loss: 0.4296 Acc: 0.8958, Time 0m 57s
Epoch 30/200, training Loss: 0.3969 Acc: 0.9225, validation Loss: 0.4142 Acc: 0.8958, Time 0m 57s
Epoch 31/200, training Loss: 0.3975 Acc: 0.9231, validation Loss: 0.4218 Acc: 0.8932, Time 0m 57s
Epoch 32/200, training Loss: 0.4049 Acc: 0.9114, validation Loss: 0.4245 Acc: 0.8984, Time 0m 57s
Epoch 33/200, training Loss: 0.4046 Acc: 0.9094, validation Loss: 0.4304 Acc: 0.8880, Time 0m 57s
Epoch 34/200, training Loss: 0.3954 Acc: 0.9218, validation Loss: 0.4222 Acc: 0.8958, Time 0m 57s
Epoch 35/200, training Loss: 0.4049 Acc: 0.9075, validation Loss: 0.4229 Acc: 0.8932, Time 0m 57s
Epoch 36/200, training Loss: 0.3996 Acc: 0.9212, validation Loss: 0.4181 Acc: 0.9010, Time 0m 57s
Epoch 37/200, training Loss: 0.4058 Acc: 0.9147, validation Loss: 0.4170 Acc: 0.9036, Time 0m 57s
Epoch 38/200, training Loss: 0.4006 Acc: 0.9192, validation Loss: 0.4181 Acc: 0.8984, Time 0m 57s
Epoch 39/200, training Loss: 0.4049 Acc: 0.9147, validation Loss: 0.4173 Acc: 0.9010, Time 0m 57s
Epoch 40/200, training Loss: 0.4000 Acc: 0.9205, validation Loss: 0.4251 Acc: 0.8906, Time 0m 57s
Epoch 41/200, training Loss: 0.4021 Acc: 0.9140, validation Loss: 0.4186 Acc: 0.8984, Time 0m 57s
Epoch 42/200, training Loss: 0.4012 Acc: 0.9166, validation Loss: 0.4216 Acc: 0.8906, Time 0m 57s
Epoch 43/200, training Loss: 0.4029 Acc: 0.9134, validation Loss: 0.4201 Acc: 0.8932, Time 0m 57s
Epoch 44/200, training Loss: 0.3963 Acc: 0.9212, validation Loss: 0.4168 Acc: 0.9010, Time 0m 57s
Epoch 45/200, training Loss: 0.4029 Acc: 0.9153, validation Loss: 0.4128 Acc: 0.9036, Time 0m 57s
Epoch 46/200, training Loss: 0.3992 Acc: 0.9199, validation Loss: 0.4145 Acc: 0.9010, Time 0m 57s
Epoch 47/200, training Loss: 0.4042 Acc: 0.9107, validation Loss: 0.4403 Acc: 0.8698, Time 0m 57s
Epoch 48/200, training Loss: 0.3982 Acc: 0.9212, validation Loss: 0.4320 Acc: 0.8828, Time 0m 57s
Epoch 49/200, training Loss: 0.3965 Acc: 0.9212, validation Loss: 0.4389 Acc: 0.8698, Time 0m 57s
Epoch 50/200, training Loss: 0.4035 Acc: 0.9140, validation Loss: 0.4202 Acc: 0.9010, Time 0m 57s
Epoch 51/200, training Loss: 0.3949 Acc: 0.9212, validation Loss: 0.4182 Acc: 0.8984, Time 0m 57s
Epoch 52/200, training Loss: 0.3950 Acc: 0.9277, validation Loss: 0.4181 Acc: 0.8984, Time 0m 57s
Epoch 53/200, training Loss: 0.3911 Acc: 0.9316, validation Loss: 0.4185 Acc: 0.8984, Time 0m 57s
Epoch 54/200, training Loss: 0.3927 Acc: 0.9264, validation Loss: 0.4181 Acc: 0.8984, Time 0m 57s
Epoch 55/200, training Loss: 0.3942 Acc: 0.9238, validation Loss: 0.4177 Acc: 0.8984, Time 0m 57s
Epoch 56/200, training Loss: 0.3928 Acc: 0.9290, validation Loss: 0.4183 Acc: 0.8984, Time 0m 57s
Epoch 57/200, training Loss: 0.3977 Acc: 0.9192, validation Loss: 0.4188 Acc: 0.8984, Time 0m 57s
Epoch 58/200, training Loss: 0.3928 Acc: 0.9231, validation Loss: 0.4174 Acc: 0.8984, Time 0m 57s
Epoch 59/200, training Loss: 0.3945 Acc: 0.9277, validation Loss: 0.4179 Acc: 0.8984, Time 0m 57s
Epoch 60/200, training Loss: 0.3935 Acc: 0.9231, validation Loss: 0.4198 Acc: 0.8958, Time 0m 57s
Epoch 61/200, training Loss: 0.3952 Acc: 0.9283, validation Loss: 0.4188 Acc: 0.8984, Time 0m 57s
Epoch 62/200, training Loss: 0.3973 Acc: 0.9238, validation Loss: 0.4193 Acc: 0.8958, Time 0m 57s
Epoch 63/200, training Loss: 0.4089 Acc: 0.9036, validation Loss: 0.4190 Acc: 0.9010, Time 0m 57s
Epoch 64/200, training Loss: 0.3971 Acc: 0.9231, validation Loss: 0.4177 Acc: 0.9036, Time 0m 57s
Epoch 65/200, training Loss: 0.3978 Acc: 0.9205, validation Loss: 0.4172 Acc: 0.9010, Time 0m 57s
Epoch 66/200, training Loss: 0.4016 Acc: 0.9107, validation Loss: 0.4180 Acc: 0.9010, Time 0m 57s
Epoch 67/200, training Loss: 0.3991 Acc: 0.9225, validation Loss: 0.4190 Acc: 0.8958, Time 0m 57s
Epoch 68/200, training Loss: 0.3905 Acc: 0.9296, validation Loss: 0.4177 Acc: 0.9010, Time 0m 57s
Epoch 69/200, training Loss: 0.3971 Acc: 0.9251, validation Loss: 0.4177 Acc: 0.9010, Time 0m 57s
Epoch 70/200, training Loss: 0.4039 Acc: 0.9107, validation Loss: 0.4185 Acc: 0.8932, Time 0m 57s
Epoch 71/200, training Loss: 0.3945 Acc: 0.9231, validation Loss: 0.4179 Acc: 0.8984, Time 0m 57s
Epoch 72/200, training Loss: 0.3974 Acc: 0.9218, validation Loss: 0.4178 Acc: 0.8984, Time 0m 57s
Epoch 73/200, training Loss: 0.3924 Acc: 0.9283, validation Loss: 0.4179 Acc: 0.8984, Time 0m 57s
Epoch 74/200, training Loss: 0.3939 Acc: 0.9257, validation Loss: 0.4170 Acc: 0.8984, Time 0m 57s
Epoch 75/200, training Loss: 0.3996 Acc: 0.9173, validation Loss: 0.4170 Acc: 0.8984, Time 0m 57s
Epoch 76/200, training Loss: 0.3952 Acc: 0.9257, validation Loss: 0.4174 Acc: 0.8984, Time 0m 57s
Epoch 77/200, training Loss: 0.3991 Acc: 0.9225, validation Loss: 0.4179 Acc: 0.9010, Time 0m 57s
Epoch 78/200, training Loss: 0.3974 Acc: 0.9238, validation Loss: 0.4183 Acc: 0.9010, Time 0m 57s
Epoch 79/200, training Loss: 0.3956 Acc: 0.9212, validation Loss: 0.4169 Acc: 0.9010, Time 0m 57s
Epoch 80/200, training Loss: 0.3993 Acc: 0.9199, validation Loss: 0.4171 Acc: 0.8984, Time 0m 57s
Epoch 81/200, training Loss: 0.3931 Acc: 0.9257, validation Loss: 0.4177 Acc: 0.8984, Time 0m 57s
Epoch 82/200, training Loss: 0.3949 Acc: 0.9218, validation Loss: 0.4168 Acc: 0.8984, Time 0m 57s
Epoch 83/200, training Loss: 0.3961 Acc: 0.9238, validation Loss: 0.4166 Acc: 0.9010, Time 0m 57s
Epoch 84/200, training Loss: 0.3944 Acc: 0.9251, validation Loss: 0.4173 Acc: 0.8984, Time 0m 57s
Epoch 85/200, training Loss: 0.3885 Acc: 0.9270, validation Loss: 0.4177 Acc: 0.8984, Time 0m 57s
Epoch 86/200, training Loss: 0.3942 Acc: 0.9270, validation Loss: 0.4168 Acc: 0.9036, Time 0m 57s
Epoch 87/200, training Loss: 0.4039 Acc: 0.9121, validation Loss: 0.4179 Acc: 0.9010, Time 0m 57s
Epoch 88/200, training Loss: 0.3977 Acc: 0.9179, validation Loss: 0.4177 Acc: 0.8984, Time 0m 57s
Epoch 89/200, training Loss: 0.3978 Acc: 0.9160, validation Loss: 0.4189 Acc: 0.8984, Time 0m 57s
Epoch 90/200, training Loss: 0.3967 Acc: 0.9218, validation Loss: 0.4167 Acc: 0.8984, Time 0m 58s
Epoch 91/200, training Loss: 0.3934 Acc: 0.9264, validation Loss: 0.4165 Acc: 0.9010, Time 0m 58s
Epoch 92/200, training Loss: 0.4035 Acc: 0.9140, validation Loss: 0.4175 Acc: 0.9010, Time 0m 58s
Epoch 93/200, training Loss: 0.3998 Acc: 0.9153, validation Loss: 0.4170 Acc: 0.8984, Time 0m 57s
Epoch 94/200, training Loss: 0.3988 Acc: 0.9166, validation Loss: 0.4177 Acc: 0.9010, Time 0m 57s
Epoch 95/200, training Loss: 0.3926 Acc: 0.9303, validation Loss: 0.4173 Acc: 0.9010, Time 0m 57s
Epoch 96/200, training Loss: 0.4021 Acc: 0.9134, validation Loss: 0.4172 Acc: 0.8984, Time 0m 57s
Epoch 97/200, training Loss: 0.3945 Acc: 0.9270, validation Loss: 0.4167 Acc: 0.9010, Time 0m 57s
Epoch 98/200, training Loss: 0.3996 Acc: 0.9192, validation Loss: 0.4176 Acc: 0.9010, Time 0m 57s
Epoch 99/200, training Loss: 0.3982 Acc: 0.9173, validation Loss: 0.4180 Acc: 0.8984, Time 0m 57s
Epoch 100/200, training Loss: 0.4005 Acc: 0.9160, validation Loss: 0.4176 Acc: 0.9010, Time 0m 57s
Epoch 101/200, training Loss: 0.4028 Acc: 0.9147, validation Loss: 0.4181 Acc: 0.9010, Time 0m 57s
Epoch 102/200, training Loss: 0.3966 Acc: 0.9199, validation Loss: 0.4174 Acc: 0.9036, Time 0m 57s
Epoch 103/200, training Loss: 0.3995 Acc: 0.9192, validation Loss: 0.4169 Acc: 0.9010, Time 0m 57s
Epoch 104/200, training Loss: 0.4017 Acc: 0.9114, validation Loss: 0.4189 Acc: 0.8958, Time 0m 57s
Epoch 105/200, training Loss: 0.3964 Acc: 0.9225, validation Loss: 0.4184 Acc: 0.8984, Time 0m 57s
Epoch 106/200, training Loss: 0.3922 Acc: 0.9264, validation Loss: 0.4182 Acc: 0.9010, Time 0m 57s
Epoch 107/200, training Loss: 0.3968 Acc: 0.9231, validation Loss: 0.4174 Acc: 0.9010, Time 0m 57s
Epoch 108/200, training Loss: 0.3981 Acc: 0.9147, validation Loss: 0.4177 Acc: 0.8984, Time 0m 57s
Epoch 109/200, training Loss: 0.3906 Acc: 0.9283, validation Loss: 0.4181 Acc: 0.8984, Time 0m 57s
Epoch 110/200, training Loss: 0.4002 Acc: 0.9166, validation Loss: 0.4176 Acc: 0.8984, Time 0m 57s
Epoch 111/200, training Loss: 0.3963 Acc: 0.9205, validation Loss: 0.4167 Acc: 0.9010, Time 0m 57s
Epoch 112/200, training Loss: 0.3978 Acc: 0.9218, validation Loss: 0.4175 Acc: 0.8984, Time 0m 57s
Epoch 113/200, training Loss: 0.3993 Acc: 0.9153, validation Loss: 0.4174 Acc: 0.8984, Time 0m 57s
Epoch 114/200, training Loss: 0.3881 Acc: 0.9290, validation Loss: 0.4178 Acc: 0.9010, Time 0m 57s
Epoch 115/200, training Loss: 0.3904 Acc: 0.9290, validation Loss: 0.4177 Acc: 0.9010, Time 0m 57s
Epoch 116/200, training Loss: 0.3947 Acc: 0.9225, validation Loss: 0.4178 Acc: 0.8958, Time 0m 57s
Epoch 117/200, training Loss: 0.3949 Acc: 0.9251, validation Loss: 0.4178 Acc: 0.8958, Time 0m 57s
Epoch 118/200, training Loss: 0.4006 Acc: 0.9147, validation Loss: 0.4178 Acc: 0.8984, Time 0m 57s
Epoch 119/200, training Loss: 0.3984 Acc: 0.9199, validation Loss: 0.4183 Acc: 0.9010, Time 0m 57s
Epoch 120/200, training Loss: 0.3897 Acc: 0.9303, validation Loss: 0.4179 Acc: 0.9010, Time 0m 57s
Epoch 121/200, training Loss: 0.3901 Acc: 0.9336, validation Loss: 0.4175 Acc: 0.9010, Time 0m 57s
