Epoch 1/50, training Loss: 0.6027 Acc: 0.6988, validation Loss: 0.6289 Acc: 0.6583, Time 2m 36s
Epoch 2/50, training Loss: 0.5253 Acc: 0.8022, validation Loss: 0.5749 Acc: 0.7458, Time 2m 36s
Epoch 3/50, training Loss: 0.4951 Acc: 0.8266, validation Loss: 0.5241 Acc: 0.8160, Time 2m 36s
Epoch 4/50, training Loss: 0.4758 Acc: 0.8365, validation Loss: 0.5418 Acc: 0.8328, Time 2m 36s
Epoch 5/50, training Loss: 0.4615 Acc: 0.8505, validation Loss: 0.5186 Acc: 0.8185, Time 2m 37s
Epoch 6/50, training Loss: 0.4464 Acc: 0.8710, validation Loss: 0.5293 Acc: 0.8210, Time 2m 36s
Epoch 7/50, training Loss: 0.4357 Acc: 0.8779, validation Loss: 0.4765 Acc: 0.8452, Time 2m 36s
Epoch 8/50, training Loss: 0.4278 Acc: 0.8853, validation Loss: 0.5320 Acc: 0.8160, Time 2m 36s
Epoch 9/50, training Loss: 0.4206 Acc: 0.8932, validation Loss: 0.6063 Acc: 0.6716, Time 2m 36s
Epoch 10/50, training Loss: 0.4198 Acc: 0.8934, validation Loss: 0.5286 Acc: 0.7557, Time 2m 37s
Epoch 11/50, training Loss: 0.4107 Acc: 0.9033, validation Loss: 0.5247 Acc: 0.7740, Time 2m 36s
Epoch 12/50, training Loss: 0.4071 Acc: 0.9060, validation Loss: 0.4771 Acc: 0.8422, Time 2m 36s
Epoch 13/50, training Loss: 0.3970 Acc: 0.9201, validation Loss: 0.4932 Acc: 0.8081, Time 2m 36s
Epoch 14/50, training Loss: 0.3976 Acc: 0.9174, validation Loss: 0.4287 Acc: 0.8798, Time 2m 36s
Epoch 15/50, training Loss: 0.3945 Acc: 0.9193, validation Loss: 0.4490 Acc: 0.8670, Time 2m 36s
Epoch 16/50, training Loss: 0.3889 Acc: 0.9265, validation Loss: 0.4239 Acc: 0.8912, Time 2m 37s
Epoch 17/50, training Loss: 0.3811 Acc: 0.9346, validation Loss: 0.7219 Acc: 0.5430, Time 2m 37s
Epoch 18/50, training Loss: 0.3863 Acc: 0.9253, validation Loss: 0.4279 Acc: 0.8907, Time 2m 36s
Epoch 19/50, training Loss: 0.3787 Acc: 0.9369, validation Loss: 0.5253 Acc: 0.7735, Time 2m 37s
Epoch 20/50, training Loss: 0.3759 Acc: 0.9369, validation Loss: 0.4316 Acc: 0.8877, Time 2m 36s
Epoch 21/50, training Loss: 0.3684 Acc: 0.9470, validation Loss: 0.3969 Acc: 0.9110, Time 2m 36s
Epoch 22/50, training Loss: 0.3670 Acc: 0.9477, validation Loss: 0.3931 Acc: 0.9228, Time 2m 36s
Epoch 23/50, training Loss: 0.3682 Acc: 0.9470, validation Loss: 0.3993 Acc: 0.9125, Time 2m 36s
Epoch 24/50, training Loss: 0.3656 Acc: 0.9492, validation Loss: 0.4461 Acc: 0.8635, Time 2m 36s
Epoch 25/50, training Loss: 0.3646 Acc: 0.9526, validation Loss: 0.3895 Acc: 0.9224, Time 2m 36s
Epoch 26/50, training Loss: 0.3666 Acc: 0.9472, validation Loss: 0.3824 Acc: 0.9308, Time 2m 36s
Epoch 27/50, training Loss: 0.3658 Acc: 0.9494, validation Loss: 0.3925 Acc: 0.9174, Time 2m 36s
Epoch 28/50, training Loss: 0.3631 Acc: 0.9529, validation Loss: 0.3835 Acc: 0.9243, Time 2m 36s
Epoch 29/50, training Loss: 0.3618 Acc: 0.9529, validation Loss: 0.3857 Acc: 0.9283, Time 2m 36s
Epoch 30/50, training Loss: 0.3643 Acc: 0.9507, validation Loss: 0.3963 Acc: 0.9164, Time 2m 37s
Epoch 31/50, training Loss: 0.3652 Acc: 0.9497, validation Loss: 0.4453 Acc: 0.8595, Time 2m 36s
Epoch 32/50, training Loss: 0.3638 Acc: 0.9519, validation Loss: 0.3825 Acc: 0.9278, Time 2m 36s
Epoch 33/50, training Loss: 0.3619 Acc: 0.9526, validation Loss: 0.4517 Acc: 0.8497, Time 2m 36s
Epoch 34/50, training Loss: 0.3639 Acc: 0.9519, validation Loss: 0.4155 Acc: 0.8981, Time 2m 36s
Epoch 35/50, training Loss: 0.3622 Acc: 0.9534, validation Loss: 0.3897 Acc: 0.9224, Time 2m 36s
Epoch 36/50, training Loss: 0.3609 Acc: 0.9541, validation Loss: 0.4228 Acc: 0.8843, Time 2m 37s
Epoch 37/50, training Loss: 0.3590 Acc: 0.9563, validation Loss: 0.4928 Acc: 0.8101, Time 2m 36s
Epoch 38/50, training Loss: 0.3639 Acc: 0.9502, validation Loss: 0.3903 Acc: 0.9209, Time 2m 36s
Epoch 39/50, training Loss: 0.3583 Acc: 0.9573, validation Loss: 0.4194 Acc: 0.8843, Time 2m 37s
Epoch 40/50, training Loss: 0.3586 Acc: 0.9581, validation Loss: 0.4281 Acc: 0.8823, Time 2m 37s
Epoch 41/50, training Loss: 0.3581 Acc: 0.9568, validation Loss: 0.3887 Acc: 0.9214, Time 2m 37s
Epoch 42/50, training Loss: 0.3561 Acc: 0.9600, validation Loss: 0.3765 Acc: 0.9332, Time 2m 36s
Epoch 43/50, training Loss: 0.3613 Acc: 0.9551, validation Loss: 0.3767 Acc: 0.9347, Time 2m 36s
Epoch 44/50, training Loss: 0.3606 Acc: 0.9529, validation Loss: 0.3763 Acc: 0.9337, Time 2m 36s
Epoch 45/50, training Loss: 0.3617 Acc: 0.9539, validation Loss: 0.3763 Acc: 0.9332, Time 2m 36s
Epoch 46/50, training Loss: 0.3580 Acc: 0.9573, validation Loss: 0.3761 Acc: 0.9342, Time 2m 36s
