Epoch 1/200, training Loss: 0.5678 Acc: 0.7375, validation Loss: 0.7715 Acc: 0.3516, Time 0m 56s
Epoch 2/200, training Loss: 0.4642 Acc: 0.8580, validation Loss: 0.5241 Acc: 0.7995, Time 0m 59s
Epoch 3/200, training Loss: 0.4438 Acc: 0.8769, validation Loss: 0.6565 Acc: 0.5729, Time 0m 58s
Epoch 4/200, training Loss: 0.4266 Acc: 0.8853, validation Loss: 0.4882 Acc: 0.8724, Time 0m 58s
Epoch 5/200, training Loss: 0.4228 Acc: 0.8899, validation Loss: 0.6252 Acc: 0.6302, Time 0m 58s
Epoch 6/200, training Loss: 0.4013 Acc: 0.9160, validation Loss: 0.4639 Acc: 0.8620, Time 0m 58s
Epoch 7/200, training Loss: 0.4095 Acc: 0.9023, validation Loss: 0.4546 Acc: 0.8646, Time 0m 58s
Epoch 8/200, training Loss: 0.3880 Acc: 0.9257, validation Loss: 0.4332 Acc: 0.8932, Time 0m 58s
Epoch 9/200, training Loss: 0.3873 Acc: 0.9257, validation Loss: 0.4353 Acc: 0.8776, Time 0m 58s
Epoch 10/200, training Loss: 0.3844 Acc: 0.9296, validation Loss: 0.6110 Acc: 0.6536, Time 0m 58s
Epoch 11/200, training Loss: 0.3743 Acc: 0.9401, validation Loss: 0.6429 Acc: 0.6484, Time 0m 58s
Epoch 12/200, training Loss: 0.3719 Acc: 0.9446, validation Loss: 0.4711 Acc: 0.8229, Time 0m 58s
Epoch 13/200, training Loss: 0.3688 Acc: 0.9446, validation Loss: 0.4744 Acc: 0.8620, Time 0m 58s
Epoch 14/200, training Loss: 0.3807 Acc: 0.9316, validation Loss: 0.6150 Acc: 0.6484, Time 0m 58s
Epoch 15/200, training Loss: 0.3602 Acc: 0.9577, validation Loss: 0.5931 Acc: 0.6823, Time 0m 57s
Epoch 16/200, training Loss: 0.3533 Acc: 0.9596, validation Loss: 0.4441 Acc: 0.8698, Time 0m 58s
Epoch 17/200, training Loss: 0.3475 Acc: 0.9674, validation Loss: 0.5199 Acc: 0.7839, Time 0m 57s
Epoch 18/200, training Loss: 0.3512 Acc: 0.9648, validation Loss: 0.4149 Acc: 0.9036, Time 0m 58s
Epoch 19/200, training Loss: 0.3476 Acc: 0.9642, validation Loss: 0.4302 Acc: 0.8776, Time 0m 57s
Epoch 20/200, training Loss: 0.3505 Acc: 0.9622, validation Loss: 0.4271 Acc: 0.8854, Time 0m 57s
Epoch 21/200, training Loss: 0.3380 Acc: 0.9785, validation Loss: 0.4493 Acc: 0.8490, Time 0m 57s
Epoch 22/200, training Loss: 0.3388 Acc: 0.9765, validation Loss: 0.3975 Acc: 0.9245, Time 0m 57s
Epoch 23/200, training Loss: 0.3402 Acc: 0.9746, validation Loss: 0.3919 Acc: 0.9245, Time 0m 58s
